Under conditions of high humidity , the rate of evaporation of sweat from the skin decreases .	With a higher humidity , the rate of evaporation is less .
The Greek physician Hippocrates , known as the father of medicine , sought a logic to sickness ; he is the first person known to have examined the relationships between the occurrence of disease and environmental influences .	Hippocrates is viewed as the father of epidemiology as the first who has examined the relationships between the occurrence of disease and environmental influences .
Epidemiologists also study the interaction of diseases in a population , a condition known as a syndemic .	Epidemiologists also study the interaction of diseases in a population .
Dr. John Snow is famous for his investigations into the causes of the 19th century cholera epidemics , and is also known as the father of ( modern ) epidemiology .	Dr. John Snow investigated into the causes of the 19th Century Cholera epidemics .
Epidemiologists rely on other scientific disciplines like biology to better understand disease processes , statistics to make efficient use of the data and draw appropriate conclusions , social sciences to better understand proximate and distal causes , and engineering for exposure assessment .	Epidemiologists rely on biology ( to better understand disease processes ) , biostatistics ( to design and understand good studies ) , Geographic Information Science ( to store data and map disease patterns ) and social science disciplines ( to understand `` big picture '' causes ) .
He provided statistical evidence for many theories on disease , and also refuted some widespread ideas on them .	In 1662 John Graunt used analysis of the mortality rolls in London before the Great Plague to provide statistical evidence for many theories on disease , and refute widespread ideas on them .
Manasa ( Bengali : মনসা , Manasha ) also Mansa Devi is a Hindu folk goddess of snakes , worshipped mainly in Bengal and other parts of North and northeastern India , chiefly for the prevention and cure of snakebite and also for fertility and prosperity .	Manasa ( Bengali : মনসা , Manasha ) also known as Manasa Devi is the Hindu goddess of snakes and poison .
He is considered a founding father of plant pathology ( phytopathology ) as well as the founder of modern mycology .	He is considered a founding father of plant pathology ( phytopathology ) as well as the founder of modern mycology .
De Bary also studied the formation of lichens which are the result of an association between a fungus and an alga .	De Bary studied the formation of lichens , the association between a fungus and an alga .
Finally , doctors discovered that Vergeer had an Vascular myelopathy around her spinal cord .	The doctors also found that Vergeer had an Vascular myelopathy .
At the age of ten , he was hospitalized with a gastrointestinal condition and had to remain at the hospital for a prolonged time .	At the age of ten , Gackt was hospitalized with a gastrointestinal tract and had to remain at the hospital for a prolonged time .
Common special needs include learning disabilities , communication disabilities , emotional and behavioral disorders , physical disabilities , and developmental disabilities .	Special needs include speech or hearing difficulties , emotional and behavioral disorders , physical disabilities , and developmental disorders .
Anna Moffo spent the last years of her life in New York City , where she died of a stroke at age 73 , following a decade-long battle with breast cancer .	Moffo died in New York City of a stroke after a decade long battle with breast cancer at the age of 73 .
In 1904 , at the age of 24 , Keller graduated from Radcliffe , becoming the first deaf blind person to earn a Bachelor of Arts degree .	She was the first deaf and blind person to earn a Bachelors of Arts degree .
At 19 months old , she contracted an illness described by doctors as `` an acute congestion of the stomach and the brain '' , which might have been scarlet fever or meningitis .	Some people say that it was scarlet fever or meningitis .
